id,name,short_name,category,business_summary,tier,official_page,download_url,grain,unit_of_observation,phi_classification,reid_risk,omop_status,curation_level,use_cases,vocabularies,last_validated
brfss,Behavioral Risk Factor Surveillance System,BRFSS,cdc-surveillance,"A large adult health behavior survey that helps public health and strategy teams understand smoking, obesity, prevention, chronic disease risks, and state-level population trends.",open,https://www.cdc.gov/brfss/data_documentation/index.htm,https://www.cdc.gov/brfss/data_documentation/index.htm,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,survey variables;FIPS/state;weights,2026-05-17
cdc-wonder,CDC WONDER,WONDER,cdc-surveillance,"A public query system for mortality, births, disease, and other public health data, useful for quick population benchmarks, outcomes research, and local trend checks.",open,https://wonder.cdc.gov/,https://wonder.cdc.gov/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,ICD-10;FIPS;suppressed aggregate counts,2026-05-17
fluview-flusurvnet,FluView / FluSurv-NET,FluView,cdc-surveillance,"CDC influenza surveillance and hospitalization data that helps teams monitor flu seasons, forecast respiratory demand, and plan staffing, outreach, and capacity.",open,https://www.cdc.gov/fluview/,https://www.cdc.gov/fluview/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,MMWR week;region;age strata,2026-05-17
nhanes,National Health and Nutrition Examination Survey,NHANES,cdc-surveillance,"A national survey with interviews, exams, labs, and diet measures, useful for biomarker-rich population health, risk calibration, nutrition, and chronic disease analytics.",open,https://www.cdc.gov/nchs/nhanes/index.htm,https://www.cdc.gov/nchs/nhanes/index.htm,person-level component files keyed by SEQN across two-year survey cycles,survey participant component record,public-use-deidentified-or-aggregate,low,custom-survey-etl,reference,disease-surveillance;population-risk;health-equity-analysis,SEQN;LOINC-like lab variables;survey weights,2026-05-17
nhis,National Health Interview Survey,NHIS,cdc-surveillance,"A household health interview survey that helps teams understand insurance, access, disability, health status, and care use across the U.S. population.",open,https://www.cdc.gov/nchs/nhis/documentation/index.html,https://www.cdc.gov/nchs/nhis/documentation/index.html,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,survey variables;weights,2026-05-17
nhsn,National Healthcare Safety Network,NHSN,cdc-surveillance,"Healthcare-associated infection and facility safety surveillance data that helps quality, infection prevention, and reporting teams monitor safety outcomes and compliance.",dua,https://www.cdc.gov/nhsn/,https://www.cdc.gov/nhsn/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,,2026-05-17
nndss,National Notifiable Diseases Surveillance System,NNDSS,cdc-surveillance,"National notifiable disease surveillance outputs that help public health teams track infectious and reportable disease trends, outbreaks, and geographic risk patterns.",open,https://www.cdc.gov/nndss/,https://www.cdc.gov/nndss/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,condition codes;MMWR week;jurisdiction,2026-05-17
npcr,National Program of Cancer Registries,NPCR,cdc-surveillance,"Cancer registry data that complements SEER and helps surveillance, policy, and oncology teams understand cancer incidence and outcomes across more of the U.S.",dua,https://www.cdc.gov/national-program-cancer-registries/index.html,https://www.cdc.gov/national-program-cancer-registries/index.html,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,ICD-O-3;cancer registry identifiers,2026-05-17
nsduh,National Survey on Drug Use and Health,NSDUH,cdc-surveillance,"A national survey on substance use and mental health that helps policy, behavioral health, and market teams estimate need, risk, and service demand.",open,https://www.samhsa.gov/data/data-we-collect/nsduh-national-survey-drug-use-and-health,https://www.samhsa.gov/data/data-we-collect/nsduh-national-survey-drug-use-and-health,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,survey variables;weights,2026-05-17
nvss,National Vital Statistics System,NVSS,cdc-surveillance,"Birth and death statistics that help analysts measure mortality, natality, life expectancy, cause-specific death trends, and community health outcomes.",open,https://www.cdc.gov/nchs/nvss/index.htm,https://www.cdc.gov/nchs/nvss/index.htm,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,ICD-10 cause of death;FIPS,2026-05-17
places-500-cities,PLACES / 500 Cities Small-Area Health Estimates,PLACES,cdc-surveillance,"Small-area CDC estimates of chronic disease, prevention, and health behaviors that help planners target interventions at county, city, tract, or ZIP-like levels.",open,https://www.cdc.gov/places/,https://www.cdc.gov/places/,"county, place, census tract, and ZCTA-level modeled indicator estimate",geography-indicator-year estimate,public-use-deidentified-or-aggregate,low,geospatial-context-enrichment,reference,disease-surveillance;population-risk;health-equity-analysis,FIPS;GEOID;ZCTA;model-based estimates,2026-05-17
prams,Pregnancy Risk Assessment Monitoring System,PRAMS,cdc-surveillance,"Maternal survey data linked to birth context that helps public health teams study pregnancy experiences, maternal risk factors, infant health, and perinatal programs.",dua,https://www.cdc.gov/prams/php/data-research/index.html,https://www.cdc.gov/prams/php/data-research/index.html,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,,2026-05-17
seer,SEER Cancer Incidence and Survival Data,SEER,cdc-surveillance,"Cancer incidence and survival registry data that helps oncology, public health, and life sciences teams study cancer burden, outcomes, and disparities.",registration,https://seer.cancer.gov/data/,https://seer.cancer.gov/data/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,ICD-O-3;AJCC stage;SEER site recodes,2026-05-17
vaers,Vaccine Adverse Event Reporting System,VAERS,cdc-surveillance,Spontaneous vaccine adverse event reports that help safety teams look for early warning signals while remembering reports do not prove causation.,open,https://vaers.hhs.gov/data.html,https://vaers.hhs.gov/data.html,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,VAERS_ID;MedDRA;vaccine codes,2026-05-17
wisqars,Web-based Injury Statistics Query and Reporting System,WISQARS,cdc-surveillance,"CDC injury and violence statistics that help public health, safety, and policy teams measure injury burden, mortality, and prevention priorities.",open,https://wisqars.cdc.gov/,https://wisqars.cdc.gov/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,,2026-05-17
yrbss,Youth Risk Behavior Surveillance System,YRBSS,cdc-surveillance,"Youth risk behavior survey data that helps schools, public health agencies, and policy teams understand adolescent behaviors, safety, mental health, and prevention needs.",open,https://www.cdc.gov/yrbs/,https://www.cdc.gov/yrbs/,"respondent, report, certificate, facility, or aggregate public-health record",surveillance observation,public-use-deidentified-or-aggregate,low,not-primary-omop-source,seed,disease-surveillance;population-risk;health-equity-analysis,,2026-05-17
acs-1yr-5yr,American Community Survey 1-Year and 5-Year Data,ACS,census,"The default U.S. demographic and socioeconomic context source, useful for market sizing, equity analytics, community profiles, and denominator estimates.",open,https://www.census.gov/programs-surveys/acs/data.html,https://www.census.gov/programs-surveys/acs/data.html,geography-indicator-year estimate,population or demographic estimate,none-aggregate-geography,none,geospatial-context-enrichment,seed,health-equity-analysis;population-denominators;sdoh-risk-stratification,GEOID;ACS table IDs;MOE,2026-05-17
decennial-census,Decennial Census,Decennial Census,census,"The once-a-decade population and housing baseline that helps teams build small-area denominators, geography profiles, and long-term demographic comparisons.",open,https://www.census.gov/programs-surveys/decennial-census/data.html,https://www.census.gov/programs-surveys/decennial-census/data.html,geography-indicator-year estimate,population or demographic estimate,none-aggregate-geography,none,geospatial-context-enrichment,seed,health-equity-analysis;population-denominators;sdoh-risk-stratification,GEOID;decennial tables,2026-05-17
lehd-onthemap,LEHD / OnTheMap,LEHD,census,"Employment and commuting flow data that helps analysts understand labor markets, daytime populations, access, mobility, and employer-area context.",open,https://lehd.ces.census.gov/data/,https://lehd.ces.census.gov/data/,geography-indicator-year estimate,population or demographic estimate,none-aggregate-geography,none,geospatial-context-enrichment,seed,health-equity-analysis;population-denominators;sdoh-risk-stratification,,2026-05-17
sahie,Small Area Health Insurance Estimates,SAHIE,census,"County and state health insurance coverage estimates that help teams study uninsured rates, coverage gaps, access strategy, and policy impact.",open,https://www.census.gov/programs-surveys/sahie.html,https://www.census.gov/programs-surveys/sahie.html,geography-indicator-year estimate,population or demographic estimate,none-aggregate-geography,none,geospatial-context-enrichment,seed,health-equity-analysis;population-denominators;sdoh-risk-stratification,,2026-05-17
saipe,Small Area Income and Poverty Estimates,SAIPE,census,"Small-area poverty and income estimates that help public health, education, and policy teams target resources and understand economic need.",open,https://www.census.gov/programs-surveys/saipe.html,https://www.census.gov/programs-surveys/saipe.html,geography-indicator-year estimate,population or demographic estimate,none-aggregate-geography,none,geospatial-context-enrichment,seed,health-equity-analysis;population-denominators;sdoh-risk-stratification,,2026-05-17
ca-hcai,California Health Care Access and Information Data Resources,CA HCAI,claims-commercial,"California healthcare facility, encounter, finance, workforce, and related data that helps teams study state-specific utilization, access, outcomes, capacity, and costs.",mixed,https://hcai.ca.gov/data/data-resources/,https://hcai.ca.gov/data/data-resources/,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,,2026-05-17
hcci-commercial-claims,Health Care Cost Institute Commercial Claims Data and Aggregates,HCCI,claims-commercial,"Commercial claims data and benchmarks that help employers, payers, researchers, and policy teams understand spending, prices, utilization, and privately insured populations.",dua,https://healthcostinstitute.org/data,https://healthcostinstitute.org/data,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,ICD;CPT;HCPCS;NDC;NPI,2026-05-17
hospital-price-transparency-mrfs,Hospital Price Transparency Machine-Readable Files,Hospital Price Transparency,claims-commercial,"Hospital-posted machine-readable price files that help revenue, contracting, consumer, and market teams analyze charges, negotiated rates, and price variation.",open,https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency,https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,HCPCS;CPT;DRG;payer/plan names,2026-05-17
ny-sparcs,New York SPARCS Hospital Inpatient / ED / Ambulatory Surgery Data,NY SPARCS,claims-commercial,"New York hospital, emergency department, and ambulatory surgery data that helps teams study state utilization, quality, charges, and local market dynamics.",mixed,https://www.health.ny.gov/statistics/sparcs/access/,https://www.health.ny.gov/statistics/sparcs/access/,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,,2026-05-17
state-apcds,State All-Payer Claims Databases,State APCDs,claims-commercial,"State all-payer claims databases that help teams understand regional spending, utilization, payer mix, and access across commercial and public coverage where available.",mixed,https://www.apcdcouncil.org/,https://www.apcdcouncil.org/,"member, enrollment month, claim, claim-line, provider, or aggregate depending state and access tier",state claims analytic record,mixed-public-aggregate-to-restricted-microdata,medium-high for microdata,custom-state-claims-etl,reference,price-transparency;cost-prediction;market-intelligence,ICD;CPT;HCPCS;NDC;NPI;payer identifiers,2026-05-17
transparency-in-coverage-mrfs,Transparency in Coverage Payer Machine-Readable Files,TiC MRFs,claims-commercial,"Payer-published negotiated-rate files that help price transparency, contracting, and market intelligence teams study commercial rates, provider networks, and reimbursement variation.",open,https://www.cms.gov/priorities/healthplan-price-transparency,https://www.cms.gov/priorities/healthplan-price-transparency,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,HCPCS;CPT;NPI;TIN;payer/plan,2026-05-17
tx-thcic,Texas Health Care Information Collection Public Use Data Files,TX THCIC,claims-commercial,"Texas public use healthcare encounter files that help teams analyze hospital and outpatient utilization, charges, outcomes, and regional patterns across the state.",mixed,https://www.dshs.texas.gov/center-health-statistics/texas-health-care-information-collection,https://www.dshs.texas.gov/center-health-statistics/texas-health-care-information-collection,"claim-line, negotiated-rate, encounter, plan, provider, or aggregate depending product",commercial claims or price record,none-to-restricted,low-to-high depending product,custom-claims-etl,seed,price-transparency;cost-prediction;market-intelligence,,2026-05-17
all-of-us,All of Us Research Program,All of Us,clinical-research,"A diverse U.S. research cohort with EHR, surveys, measurements, wearables, and genomics that helps study precision medicine and health equity.",registration,https://www.researchallofus.org/,https://www.researchallofus.org/,"participant-level OMOP tables, surveys, measurements, biospecimens, wearables, and genomics by access tier",research participant record,controlled-access-deidentified,medium-high,native-omop-oriented,reference,mortality-risk;clinical-benchmarking;multimodal-modeling,OMOP CDM;SNOMED CT;LOINC;RxNorm,2026-05-17
clinicaltrials-gov,ClinicalTrials.gov,ClinicalTrials.gov,clinical-research,"A public registry of clinical studies and results that helps life sciences, research, and strategy teams monitor evidence, trial activity, and competitors.",open,https://clinicaltrials.gov/data-api,https://clinicaltrials.gov/data-api,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,NCT ID;MeSH-like condition/intervention terms,2026-05-17
dbgap,Database of Genotypes and Phenotypes,dbGaP,clinical-research,"Controlled-access genotype and phenotype studies that help approved researchers connect genetic variation to disease, traits, biomarkers, and outcomes.",irb,https://www.ncbi.nlm.nih.gov/gap/,https://www.ncbi.nlm.nih.gov/gap/,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,,2026-05-17
